code,system
10046,prod
21640,prod
10063,prod
22346,prod
35629,prod
40566,prod
4224,prod
9198,prod
10107,prod
18023,prod
10263,prod
7498,prod
10308,prod
10318,prod
15988,prod
20157,prod
21809,prod
22047,prod
27290,prod
27413,prod
303,prod
33131,prod
34727,prod
35154,prod
35301,prod
35349,prod
3703,prod
38999,prod
4125,prod
41502,prod
41579,prod
606,prod
8286,prod
10328,prod
24096,prod
8010510,bnf
10388,prod
26317,prod
10401,prod
12339,prod
1314,prod
14395,prod
14576,prod
14857,prod
15596,prod
16489,prod
16768,prod
17177,prod
17186,prod
18197,prod
18236,prod
1899,prod
19072,prod
19370,prod
2128,prod
21555,prod
21899,prod
23209,prod
24270,prod
24783,prod
2502,prod
25903,prod
26261,prod
26387,prod
267,prod
26790,prod
26855,prod
270,prod
2782,prod
27967,prod
28325,prod
2837,prod
28605,prod
29340,prod
29675,prod
30111,prod
3079,prod
31171,prod
31172,prod
31215,prod
3348,prod
33815,prod
34166,prod
34687,prod
34728,prod
34902,prod
35126,prod
35445,prod
35487,prod
35787,prod
35929,prod
36575,prod
36792,prod
37099,prod
3772,prod
38056,prod
38509,prod
3881,prod
38885,prod
38913,prod
39427,prod
3985,prod
40816,prod
41070,prod
41620,prod
4231,prod
4876,prod
5587,prod
571,prod
6891,prod
7514,prod
8327,prod
10405,prod
10434,prod
10658,prod
10675,prod
10780,prod
109,prod
11213,prod
11531,prod
11767,prod
11938,prod
1199,prod
12195,prod
12469,prod
12957,prod
131,prod
13145,prod
13902,prod
14054,prod
14076,prod
14367,prod
14610,prod
14828,prod
14962,prod
14987,prod
15157,prod
15395,prod
15418,prod
1550,prod
15598,prod
16620,prod
16879,prod
17035,prod
17281,prod
17379,prod
17399,prod
17634,prod
17880,prod
18181,prod
186,prod
20368,prod
2082,prod
20920,prod
21218,prod
21732,prod
22982,prod
23441,prod
24153,prod
24637,prod
25909,prod
265,prod
2658,prod
27400,prod
27404,prod
27418,prod
280,prod
2801,prod
28041,prod
28215,prod
29238,prod
29295,prod
29351,prod
29566,prod
30201,prod
30614,prod
31484,prod
3169,prod
31905,prod
3227,prod
33106,prod
33794,prod
34252,prod
34699,prod
34801,prod
34883,prod
35384,prod
35518,prod
35578,prod
35752,prod
3579,prod
35854,prod
35855,prod
3605,prod
36622,prod
36771,prod
36800,prod
36849,prod
37306,prod
37638,prod
37705,prod
37871,prod
38022,prod
38089,prod
38090,prod
38254,prod
38319,prod
3845,prod
39307,prod
39366,prod
3952,prod
40001,prod
40280,prod
40301,prod
40390,prod
40454,prod
40779,prod
40781,prod
40932,prod
41191,prod
4175,prod
4434,prod
4490,prod
4495,prod
4673,prod
477,prod
4943,prod
5157,prod
5192,prod
6036,prod
6443,prod
7421,prod
7497,prod
7593,prod
7616,prod
8519,prod
8903,prod
8985,prod
9190,prod
9387,prod
9678,prod
9965,prod
10435,prod
13105,prod
16137,prod
1626,prod
16575,prod
1905,prod
24494,prod
2620,prod
29948,prod
34039,prod
38080,prod
6482,prod
972,prod
973,prod
10514,prod
10565,prod
12224,prod
12386,prod
14839,prod
14966,prod
15814,prod
1733,prod
18155,prod
18175,prod
2094,prod
2276,prod
28355,prod
35065,prod
35176,prod
35391,prod
35530,prod
35723,prod
3775,prod
4584,prod
7407,prod
8712,prod
9022,prod
10552,prod
10684,prod
06030200/01050200,bnf
10574,prod
1063,prod
12150,prod
1245,prod
1316,prod
13271,prod
13338,prod
13607,prod
13972,prod
1434,prod
14344,prod
14717,prod
14789,prod
16425,prod
16570,prod
17087,prod
18024,prod
18132,prod
18766,prod
20703,prod
21125,prod
21833,prod
21964,prod
22609,prod
22660,prod
227,prod
228,prod
23034,prod
25926,prod
2621,prod
27922,prod
28859,prod
30932,prod
32064,prod
32551,prod
